weight_g,ram,ram1,android,display,internal,intenal1,camera,speed1,speed,month number,concat,timestamp,approx_price_EUR
380,Err:502,Err:502,2.2,7,2,2,5,#VALUE!,#VALUE!,1,2011 1,23,240
109,512,0.5,2.2,4,2,2,5,#VALUE!,#VALUE!,1,2011 1,23,110
168,512,0.5,2.2,4.3,8,8,Err:502,#VALUE!,#VALUE!,1,2011 1,23,190
108,512,0.5,2.2,3.2,512,0.5,5,600,600,1,2011 1,23,120
163.9,768,0.75,2.2,4.3,4,4,8,#VALUE!,#VALUE!,1,2011 1,23,120
130,512,0.5,2.2,3.6,2,2,5,800,800,1,2011 1,23,120
172,Err:502,Err:502,2.2,4.3,16,16,5,#VALUE!,#VALUE!,1,2011 1,23,80
135,1,1,2.2,4,16,16,5,#VALUE!,#VALUE!,1,2011 1,23,170
108,280,0.2734375,2.2,3.3,160,0.15625,5,600,600,1,2011 1,23,120
102,278,0.271484375,2.2,3.2,158,0.154296875,3.15,800,800,1,2011 1,23,110
105,384,0.375,2.2,3.1,160,0.15625,3.15,600,600,1,2011 1,23,90
139,Err:502,Err:502,2.2,4.5,16,16,8,#VALUE!,#VALUE!,1,2011 1,23,130
164,768,0.75,2.2,4.3,4,4,8,#VALUE!,#VALUE!,1,2011 1,23,230
158,512,0.5,2.3,4.3,16,16,8,#VALUE!,#VALUE!,1,2011 1,23,250
113,278,0.271484375,2.3,3.5,158,0.154296875,5,800,800,1,2011 1,23,90
135,1,1,2.3,4,16,16,5,#VALUE!,#VALUE!,1,2011 1,23,190
175,512,0.5,2.3,3.7,1,1,5,#VALUE!,#VALUE!,1,2011 1,23,200
117,512,0.5,2.3,4.2,320,0.3125,8,#VALUE!,#VALUE!,1,2011 1,23,180
158.8,512,0.5,3,4.3,16,16,8,#VALUE!,#VALUE!,1,2011 1,23,210
680,1,1,bas,10,43540,42.51953125,5,#VALUE!,#VALUE!,1,2011 1,23,280
141,Err:502,Err:502,2.2,3.5,180,0.17578125,5,#VALUE!,#VALUE!,1,2011 1,23,
119,256,0.25,2.2,3.5,512,0.5,5,#VALUE!,#VALUE!,10,2011 10,24,
109,256,0.25,2.2,3.2,512,0.5,3.15,600,600,10,2011 10,24,110
148,256,0.25,2.3,3.2,260,0.25390625,3.15,800,800,10,2011 10,24,70
192,512,0.5,2.3,3.5,2,2,5,#VALUE!,#VALUE!,10,2011 10,24,70
,512,0.5,2.3,3.2,512,0.5,3.2,800,800,10,2011 10,24,90
130,512,0.5,2.3,3.1,4,4,5,#VALUE!,#VALUE!,10,2011 10,24,90
132.1,Err:502,Err:502,2.3,4,600,0.5859375,5,#VALUE!,#VALUE!,10,2011 10,24,280
164,512,0.5,2.3,4,4,4,5,#VALUE!,#VALUE!,10,2011 10,24,120
126,Err:502,Err:502,2.3,3.2,125,0.1220703125,3.15,800,800,10,2011 10,24,130
160,512,0.5,2.3,3.5,2,2,5,#VALUE!,#VALUE!,10,2011 10,24,190
108,512,0.5,2.3,3.8,2,2,5,#VALUE!,#VALUE!,10,2011 10,24,190
127,512,0.5,2.3,3.5,512,0.5,5,#VALUE!,#VALUE!,10,2011 10,24,330
147,1,1,2.3,4.3,8,8,8,#VALUE!,#VALUE!,10,2011 10,24,230
162.5,768,0.75,2.3,4.7,16,16,8,#VALUE!,#VALUE!,10,2011 10,24,170
147,1,1,2.3,4,8,8,8,#VALUE!,#VALUE!,10,2011 10,24,110
109,1,1,2.3,4.5,16,16,8,#VALUE!,#VALUE!,10,2011 10,24,180
109,256,0.25,2.3,3.2,512,0.5,3.15,800,800,10,2011 10,24,130
134,512,0.5,2.3,3.1,4,4,5,#VALUE!,#VALUE!,10,2011 10,24,160
176.9,1,1,2.3,4.5,16,16,8,#VALUE!,#VALUE!,10,2011 10,24,160
147.4,768,0.75,2.3,4,4,4,5,#VALUE!,#VALUE!,10,2011 10,24,140
116,512,0.5,2.3,3.7,1,1,3.15,#VALUE!,#VALUE!,10,2011 10,24,100
135,1,1,2.3,4.5,4,4,8,#VALUE!,#VALUE!,10,2011 10,24,120
139,1,1,2.3,4.5,4,4,8,#VALUE!,#VALUE!,10,2011 10,24,140
127,1,1,2.3,4.3,16,16,8,#VALUE!,#VALUE!,10,2011 10,24,220
127,1,1,2.3,4.3,16,16,8,#VALUE!,#VALUE!,10,2011 10,24,220
