ram1,android,weight_g,speed final,display,camera,intenal1,approx_price_EUR
0.75,2.3,130,1,3.7,5,4,120
-1,2.3,157,0.8,3.2,3.15,0.146484375,70
0.5,2.3,112,1,4,5,4,90
-1,2.3,139,1,3.5,3.15,0.9296875,100
0.5,2.3,135,1,4.2,-1,2,470
0.5,2.3,140,1.4,4,8,4,130
1,2.3,130.5,1.5,4.6,8,16,180
0.75,2.3,130,1.2,4,5,4,160
1,2.3,127,1,4,5,8,110
1,2.3,147,1.2,4,5,8,120
0.5,2.3,123,0.8,3.5,5,0.5,80
0.5,2.3,172,1,4.3,5,8,150
-1,2.3,122,0.6,3.5,3.15,0.5,90
1,2.3,172.9,1.5,4.3,8,16,180
1,2.3,177,1.2,4.5,8,16,230
0.75,2.3,130,1,3.7,5,4,140
0.75,2.3,151,1.5,4.3,8,4,140
1,2.3,178,1.4,5.3,8,16,270
1,3.1,709,1.5,10,8,32,280
1,3.2,340,1.4,7.7,3.15,16,280
1,3.2,558,1.2,10,5,16,530
1,3.2,400,1,7,5,16,250
1,3.2,345,1.2,7,3.15,16,260
0.125,2.2,73,0.416,2.3,2,0.25,70
0.125,2.2,71,0.416,2.8,2,0.25,60
1,2.3,142,1.2,4,5,4,140
1,2.3,141.5,1.5,4.5,8,4,130
1,2.3,136.2,1.5,4.5,8,16,230
0.5,2.3,119.1,1,3.5,3.15,-1,100
-1,2.3,123.5,1,4,3.15,4,160
1,2.3,144,1.5,4.5,12,16,210
0.5,2.3,115,1,3.6,5,3,120
1,2.3,178.9,1.2,4,8,16,260
1,2.3,178,1.5,5.3,8,16,350
1,2.3,144,1.5,4.3,12,32,230
-1,2.3,120,1.4,3.8,8,8,370
0.5,2.3,135.5,0.67,4.1,8,0.5,100
0.25,2.3,124.6,0.67,3.5,5,0.5,80
1,2.3,137,1.2,4,5,4,110
1,2.3,-1,1.5,4.6,8,16,430
1,2.3,122.5,1.5,4,5,16,270
0.375,2.3,119,0.8,3.2,3.15,1,80
0.375,2.3,110,0.8,3.2,3.15,1,70
0.5,2.3,107,0.6,3.2,3.15,0.5,160
1,2.3,127.6,1.5,3.9,5,3,140
1,2.3,130,1.2,4,5,4,240
1,2.3,145,1.2,4.3,8,8,260
0.75,2.3,120,1,4,5,8,150
1,2.3,161,1.6,4.5,8,16,190
0.5,2.3,123.6,0.8,4,8,1,180
1,2.3,163.8,1.5,4.5,8,16,200
-1,3.2,497,1.5,8.9,8,32,160
1,3.2,340.2,1.4,7.7,3.15,16,280
1,3.2,700,1,10,2,8,200
1,4,667,1.3,10,5,16,380
1,4,665,1.3,10,5,16,230
1,4,598,1.6,10,8,-1,400
1,4,130,1.5,4.3,8,4,260
1,4,469.8,1.5,8,5,16,220
1,4,135,1.2,4.6,5,16,240
1,4,144.5,1.2,4.6,5,32,270
1,4,110,1.5,4.3,8,4,170
1,4,389,1.2,7,5,16,170
0.5,2.3,100,1,3.5,3.15,4,100
0.25,2.3,125,0.8,3.5,3.15,0.1171875,60
0.5,2.3,124.2,0.8,3.5,3.15,4,50
